Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,0-100 KM/H,VITESSE MAXI,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,CONSOMMATION MIXTE,AIRBAGS,ALERTE DE RISQUE DE COLLISION,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,AIDE AU STATIONNEMENT,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ANTIBROUILLARDS,CALANDRE,FEUX À LED,JANTES,PEINTURE,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VITRES,VOLANT,VOLANT RÉGLABLE,BOUTON START & STOP,CLÉ INTELLIGENTE,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,VITRES ÉLECTRIQUES,URL,EMISSIONS DE CO2,NAVIGATION,APPUIS TÊTES ARRIÈRES,FINITION INTÉRIEURE,LUMIÈRES D'AMBIANCE,POMMEAU DE LEVIER DE VITESSE,ALERTE DE FRANCHISSEMENT DE LIGNE,CONTRÔLE DE PRESSION DES PNEUS,KIT SÉCURITÉ,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU MAINTIEN DANS LA VOIE,DIRECTION ASSISTÉE,SYSTÈME DE DESCENTE EN CÔTE,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,BARRES DE TOIT,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,SPOILER ARRIÈRE,KIT RANGEMENT,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,RÉTROVISEUR INTÉRIEUR,INSTRUMENTATION DIGITALE,NOMBRE DE MOTEURS ÉLECTRIQUES,BATTERIE,VOLUME DU COFFRE MAXIMAL,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),CHARGE UTILE,VOLUME UTILE,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,ORDINATEUR DE BORD,SORTIES D’ÉCHAPPEMENT,TABLEAU DE BORD,CONDUITE AUTONOME,POIGNÉES DE PORTES,AFFICHAGE TÊTE HAUTE,DIFFÉRENTIEL AUTOBLOQUANT,KIT CARROSSERIE,Ancien Prix
"OPEL ASTRA
1.2 L GS LIMITED",Version unique,94 900 DT,Non,Disponible,Compacte,3 ans ou 100.000 km,5,5,3,Essence,7 CV,130 CH,230 nm 1750 tr/min,1199 CM³,Automatique,8,Traction,4370 mm,1860 mm,1470 mm,422 L,9.7 s,210 KM/H,5.9 L/100 km,4.6 L/100 km,5.5 L/100 km,Frontaux | Latéraux | Rideaux,FCW,ESP,Freinage automatique anti-collision (AEB),Radar de recul | Radar avant | Système de caméras 360,Adaptatif (ACC),TSR,LED,Noire,Feux de jour | Avant | Arrières,En aluminium | 17'',Bi-ton,LED,6 haut-parleurs | Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Mirrorlink,Tactile | 10 pouces,Avant,Tissu,10 directions | Chauffants | Réglage lombaire,Conducteur et passager,Ouvrant,Lunette et vitres arrières sur-teintées,Chauffant | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables,Avant/Arrière,https://www.automobile.tn/fr/neuf/opel/astra/1.2-l-gs-limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RENAULT MEGANE
1.3 L TCE 140",Version unique,94 950 DT,Non,Disponible,Compacte,2 ans ou 100.000 km,5,5,4,Essence,8 CV,140 CH,260 nm 1750 tr/min,1332 CM³,Manuelle,6,Traction,4359 mm,1814 mm,1438 mm,402 L,8.2 s,205 KM/H,7.2 L/100 km,5.6 L/100 km,4.9 L/100 km,Frontaux | Latéraux | Rideaux,,ESP,AFU,Radar de recul | Radar avant | Caméra de recul,,,,Noire,Avant | Arrières,En aluminium | 16'',,,8 haut-parleurs | Commandes au volant | R-Link 2,2 USB | Bluetooth | Commande vocale,Tactile | 7 pouces,Avant | Arrière,Similicuir | Velours,Réglage lombaire,Conducteur,,Teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,,Automatique | Bizone,À distance,Éléctrique,Normal | Confort | Sport | Eco,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,Avant/Arrière,https://www.automobile.tn/fr/neuf/renault/megane/1.3-l-tce-140,129 g/km,GPS | Cartographie Tunisienne,3,Aluminium brossé,LED,Cuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FAW BESTUNE B70
1.5 L TURBO LUXURY BVA",Version unique,94 970 DT,Non,Disponible,Berline,5 ans ou 150000 km,5,5,4,Essence,8 CV,169 CH,258 nm 1500 tr/min,1498 CM³,Automatique,7,Traction,4810 mm,1840 mm,1455 mm,520 L,8.5 s,200 KM/H,9.2 L/100 km,5.4 L/100 km,6.8 L/100 km,Frontaux | Latéraux,FCW,ESC | ESP | TCS,AFU | Active City Brake | EBA | BAS | EBD | VDR,Radar de recul | Système de caméras 360,Adaptatif (ACC),TSR,,Chromée,Feux de jour | Avant | Arrières,En aluminium | 18'',Métallisée | Nacrée,Full LED,6 haut-parleurs | Commandes au volant,2 USB | Bluetooth | Mirrorlink,Tactile | 12.3 pouces,Avant | Arrière,Cuir perforé | Surpiqures,Conducteur à réglage électrique | 6 directions | Chauffants | Baquets,Conducteur,Ouvrant | Panoramique | En verre,,Cuir | 3 branches | Multi-fonctions | Sport | à méplat,En hauteur,Démarrage mains libres,Accès mains libres,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/faw/bestune-b70/1.5-l-turbo-bva-luxury,,,3,Noir brillant | Chromée,,Cuir,LDW,TPMS,Triangle de présignalisation | Trousse de premiers secours,Autohold | HAC,LKA,Électrique,HDC,Chrome,Chromées,Pare-chocs | Rétroviseurs,Noir,Poches aumônières | Porte-lunettes,1 prise 12 V,Ouverture à distance,Anti-éblouissement | Sans Cadre,12.3 pouces,,,,,,,,,,,,,,,,,,,,
"BYD DOLPHIN
44.9 KWH",Version unique,94 990 DT,Non,Disponible,Compacte,6 ans ou 150.000 km | Batterie garantie 8 ans ou 200.000 km,5,5,,Electrique,5 CV,95 CH,180 nm 0 tr/min,,Automatique,,Traction,4070 mm,1770 mm,1570 mm,345 L,10.9 s,150 KM/H,,,,Frontaux | Latéraux | Rideaux,,ESC | TCS,EBD | HBA | VDC,Radar de recul | Système de caméras 360,,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 16'' | Bi-ton,Métallisée,LED,6 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 12.8 pouces | Rotatif,Avant,Similicuir,,,,,Similicuir | 3 branches | Multi-fonctions,En hauteur,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques,Avant/Arrière,https://www.automobile.tn/fr/neuf/byd/dolphin/fwd,,,3,,,,,TPMS,,HHC,,,CRBS,Chrome,,Pare-chocs | Poignées de portes | Rétroviseurs,,Poches aumônières,1 prise 12 V,,,5 pouces,1,44.9 kWh,1310 L,340 km,405 km,11 kWh/100 km,5 heures,31 minutes,,,,,,,,,,,,
"CHERY TIGGO 7 PRO
1.5 T CVT",Version unique,96 500 DT,Non,Disponible,SUV,7 ans ou 200000 km,5,5,4,Essence,9 CV,147 CH,210 nm 1750 tr/min,1498 CM³,Automatique,9,Traction,4513 mm,1862 mm,1696 mm,475 L,9.7 s,185 KM/H,,,7.9 L/100 km,Frontaux | Latéraux | Rideaux,,ESP,EBA | EBD,Radar de recul | Radar avant | Système de caméras 360,Adaptatif (ACC),,,Chromée,Feux de jour | Avant | Arrières,En aluminium | 18'',,Matrix LED,6 haut-parleurs | Commandes au volant | Sony,3 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Wifi | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Réfrigéré | Arrière,Cuir,Électriques | 6 directions | Chauffants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/chery/tiggo-7/1.5-t-cvt-2025,,,3,,,,,,,,,,,Chrome,,,,,,Ouverture et fermeture motorisées,,12.3 pouces,,,1500 L,,,,,,,,,,,,,,,,,
CITROËN JUMPER,2.2 L HDI L2H2 11.5m3,97 900 DT,Non,3 mois,Utilitaire,3 ans,3,5 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,4,Diesel,7 CV,140 CH,340 nm 1750 tr/min,2179 CM³,Manuelle,6,Traction,5413 mm,1870 mm,2522 mm,,N.C,N.C,N.C,N.C,N.C,Frontal conducteur,,ESP,AFU,Radar de recul,,,,,,16'',,,,,,Avant conducteur,Tissu,,Conducteur,,,,En hauteur et en profondeur,,,Manuelle,À distance,,,Électriques,Avant,https://www.automobile.tn/fr/neuf/citroen/jumper/2.2-l-hdi-l2h2-11.5m3#specs,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,1390 KG,11.5 m³,,,,,,,,,,
"MG ZS HYBRID+
1.5 L CVT LUXURY",Version unique,97 950 DT,Non,4 mois,SUV,5 ans,5,5,4,Essence | Hybride,5 CV,197 CH,250 nm 4500 tr/min,1498 CM³,Automatique,,Traction,4430 mm,1818 mm,1635 mm,443 L,8.0 s,170 KM/H,,,5.1 L/100 km,Frontaux | Latéraux | Rideaux,FCW,ESP,Freinage automatique anti-collision (AEB),Radar de recul | Système de caméras 360,Adaptatif (ACC),TSR,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth,Tactile | 12.3 pouces,Avant,Similicuir,Chauffants,Conducteur,Ouvrant,Lunette et vitres arrières sur-teintées,Cuir | Chauffant | Multi-fonctions,En hauteur,Démarrage mains libres,Accès mains libres,Automatique | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Éclairage d'accueil à LED,Avant/Arrière,https://www.automobile.tn/fr/neuf/mg/zs-hybride/1.5-l-cvt,,,3,,,,,,,Autohold,,Électrique,,,,,,,,,,7 pouces,,,1457 L,,,,,,,,,,,,,,,,,
SEAT ARONA,1.0 TSI Style,90 980 DT,Non,Disponible,SUV,3 ans,5,5,3,Essence,6 CV,116 CH,200 nm 2000 tr/min,999 CM³,Automatique,7,Traction,4154 mm,1780 mm,1537 mm,400 L,9.8 s,182 KM/H,6.1 L/100 km,4.7 L/100 km,5.2 L/100 km,Frontaux | Latéraux | Protège-tête,,ESP,,Radar de recul,,,,,Feux de jour,En aluminium | 17'',,LED,Commandes au volant,USB-C | AUX | Bluetooth | Mirrorlink,Tactile | 8.25 pouces,Avant,Tissu,,Conducteur,,,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,,,Automatique,À distance,,,Électriques | Rabattables | Dégivrants,Avant/Arrière,https://www.automobile.tn/fr/neuf/seat/arona/1.0-tsi-style-plus#specs,,,3,,,Cuir,,,,,,,,,Noires,Pare-chocs | Rétroviseurs,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,
GEELY COOLRAY,1.5 L,72 800 DT,Non,Disponible,SUV,6 ans ou 200.000 km,5,5,4,Essence,6 CV,122 CH,152 nm 4500 tr/min,1499 CM³,Manuelle,5,Traction,4380 mm,1810 mm,1610 mm,330 L,12.6 s,175 KM/H,,,6.4 L/100 km,Frontaux,,ESC | TCS,EBA | VDC | HAZ,Radar de recul | Caméra de recul,,,,,Feux de jour | Arrières,En aluminium | 16'',,,2 haut-parleurs | Commandes au volant,USB | Bluetooth | Mirrorlink,Tactile | 8 pouces,Avant,Similicuir | Surpiqures,,Conducteur,,,Multi-fonctions,En hauteur,Démarrage mains libres,,Automatique,À distance,,,Électriques | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/coolray/1.5-l-turbo-2025#specs,,,,Chromée,,Similicuir,,TPMS,,,,,,Chrome,,Pare-chocs | Poignées de portes,,,1 prise 12 V,,,,,,,,,,,,,,RMI,"Ecran LCD 3.5""",,,,,,,,
"PEUGEOT 308
1.2 L PURETECH 130 CH ALLURE EAT8",Version unique,99 900 DT,Non,Disponible,Compacte,5 ans,5,5,3,Essence,7 CV,130 CH,230 nm 1750 tr/min,1199 CM³,Automatique,8,Traction,4370 mm,1850 mm,1440 mm,412 L,9.7 s,210 KM/H,5.9 L/100 km,4.6 L/100 km,5.5 L/100 km,Frontaux | Latéraux | Rideaux,,ESP,,Radar de recul | Radar avant | Caméra de recul,,TSR,,,Feux de jour | Avant | Arrières,En aluminium | 16'',,Eco LED,6 haut-parleurs | Commandes au volant,USB-C | Bluetooth | Mirrorlink,Tactile | 10 pouces,Avant | Arrière,Similicuir/Tissu,,Conducteur et passager,,Teintées | Lunette et vitres arrières sur-teintées,Croûte de cuir,En hauteur et en profondeur,Démarrage mains libres,,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Avant/Arrière,https://www.automobile.tn/fr/neuf/peugeot/308/1.2-l-puretech-130-ch-eat8-allure,,,,,,,,,,Hill assist,,Électrique,,Noir Brillant,,Pare-chocs | Poignées de portes | Rétroviseurs,,,,,,,,,,,,,,,,,,,Chromées,,,,,,,
