Nom,Description,Prix,Référence,Main,Kilométrage,Catégorie,1ère Immat.,Puissance Fiscale,Moteur,Carburant,Consommation,Transmission,URL
Audi A7,3 l,"275,000 DT",5757,1ere main,63 500 Km,Berline,Avril 2019,23 cv,340 cv,Essence,9.5 l/100 km,Automatique,https://www.sparkauto.tn/listing-detail/312/AudiA7
Mercedes Classe A 35 Amg,2L,"185,000 DT",5753,1ere main,55 000 Km,Compact,Septembre 2022,19 cva,306 cv,Essence,10.3L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/311/MercedesClasseA35Amg
Ford Kuga,1.5L Ecoboost,"62,000 DT",5305,1 ere Main,172 000 Km,SUV,Mai 2019,8 CV,120 CV,Essence,6.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/309/FordKuga
Kia Picanto,1.2L GT Line,"39,800 DT",5437,1 ere Main,79 000 Km,Citadine,Juin 2018,5 CV,84 CV,Essence,4.9 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/308/KiaPicanto
Toyota Land Cruiser Prado,3 l,"145,000 DT",5721,1ere main,230 000 Km,SUV,Octobre 2014,11 cv,190cv,Diesel,8.2 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/307/ToyotaLandCruiserPrado
Toyota C-HR,1.2L,"69,000 DT",5683,1 ere Main,117 500 Km,SUV,Octobre 2019,6 CV,116 CV,Essence,5.9L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/306/ToyotaC-HR
BMW Série 5,520i,"195,000 DT",5425,1 ere Main,18 000 Km,Berline,Novembre 2021,10 CV,184 CV,Essence,6.0 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/305/BMWS%C3%A9rie5
Peugeot 2008,1.2L,"36,000 DT",5422,1 ere Main,110 000 Km,SUV,Juillet 2017,5 CV,110 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/304/Peugeot2008
Mercedes classe E200,1.9 l,"95,500 DT",5285,1ere main,52 500 Km,Berline,Mai 2015,10,184 cv,Essence,6.0 L/100 km,Automatique,https://www.sparkauto.tn/listing-detail/303/MercedesclasseE200
Nissan Navara,2.5 l,"46,500 DT",4990,2ème main,237 000 Km,Pick-up,Mai 2012,10 cv,190cv,Diesel,8.5 L/100 KM,Manuelle,https://www.sparkauto.tn/listing-detail/302/NissanNavara
Haval H6,1.5L Turbo,"94,500 DT",5280,1 ere Main,48 000 Km,SUV,Juillet 2022,8 CV,150 CV,Essence,6.5 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/301/HavalH6
Volkswagen Tiguan R Line,1.4 l,"98,000 DT",5298,2ème main,138 000 Km,SUV,Mars 2020,8 cv,130 cv,Essence,5.9 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/300/VolkswagenTiguanRLine
Hyundai i20,1.2L,"42,700 DT",5336,2 eme main,82 000 Km,Citadine,Novembre 2018,5 CV,100 CV,Essence,4.8 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/299/Hyundaii20
BMW Série 1,1.6 l,"36,000 DT",5218,2ème main,182 000 Km,Compact,Mai 2010,7 cv,122 cv,Essence,6.1 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/298/BmwSerie1
Land Rover Range Rover,3.0 L SC Vogue V8,"380,000 DT",4112,1 ere Main,116 000 Km,SUV,Novembre 2019,25 CV,400 CV,Essence,9.3 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/296/LandRoverRangeRover
Seat Arona,1.0L,"83,000 DT",4947,1 ere Main,27 000 Km,SUV,Decembre 2023,6 CV,110 CV,Essence,5.4 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/295/SeatArona
Geely GX3,1.5L CVT,"45,000 DT",5009,1 ere Main,78 000 Km,SUV,Juin 2021,6 CV,103 CV,Essence,6.5 L / 100 km,Manuelle,https://www.sparkauto.tn/listing-detail/294/GeelyGX3
Cadillac ATS,2 l,"79,000 DT",5044,1ere main,58 000 Km,Berline,Aout 2014,18 cv,276 cv,Essence,8.2 L/100 KM,Automatique,https://www.sparkauto.tn/listing-detail/293/CadillacATS
Audi Q5 S-line quattro,2 l,"96,000 DT",4740,1ere main,112 000 Km,SUV,Mai 2016,8 cv,150 cv,Diesel,5.8 L / 100 km,Automatique,https://www.sparkauto.tn/listing-detail/292/AudiQ5S-linequattro
LAND ROVER RANGE ROVER VELAR,3 l,"192,000 DT",4982,1ere main,144 000 Km,SUV,Mars 2018,19 cv,300 cv,Diesel,6.4L/100KM,Automatique,https://www.sparkauto.tn/listing-detail/291/LANDROVERRANGEROVERVELAR
